"y1","y2","x1","x2","x3","x4","x5","x6","x7","x8"
"99.75","399","3.2786","1.35","6.75","96.1","1820106.889","3019.294662","85.366","195.27421668303"
"104.25","417","3.4069","1.32","6.5","94.6","1835385.937","3003.41557","86.116","195.70381995974"
"122.25","489","3.6355","1.37","6.5","92.7","1822668.99","2861.587503","76.754","196.48663523958"
"127.75","511","3.7726","1.40","6.5","89","1804948.834","2937.290651","72.763","198.96236684359"
"129.25","517","3.8281","1.41","6.5","90.7","1787353.336","2967.179828","79.22","199.61894265418"
"137.25","549","3.9292","1.39","6.5","91.9","1833740.423","3003.99291","76.678","199.43928560579"
"130.75","523","4.1159","1.43","6.5","91.5","1853478.082","2876.538408","79.342","200.3965941767"
"136.25","545","3.7578","1.35","6.5","91.7","1802583.757","3040.492941","87.424","201.29837885049"
"135.25","541","3.786","1.33","6.5","95","1872794.541","3024.062863","89.504","200.87565225491"
"123.25","493","3.8844","1.29","6.5","94.8","2039131.257","2981.712632","87.887","201.17696573329"
"110.75","443","3.7411","1.37","6.5","98.1","1847365.691","2865.147174","97.394","201.82073202364"
"106.25","425","3.723","1.34","6.5","97.9","1857061.325","2842.259557","95.584","202.68856117134"
"97.75","391","3.8459","1.34","6.5","95.6","1848015.589","2946.565573","95.415","204.20872538012"
"104.25","417","3.8956","1.34","6.5","95.1","1829218.106","2984.750431","96.353","205.37271511479"
"126.25","505","4.0009","1.31","6.5","91.2","1806904.069","2991.839616","97.03","205.63969964444"
"120.25","481","3.8582","1.25","6.5","90.8","1831325.577","2902.433312","100.967","205.6602636144"
"140.75","563","3.7787","1.25","6.5","92.6","1807758.561","3066.57354","101.812","206.05101811527"
"139.25","557","4.0194","1.28","6","94.1","1826662.504","3051.739857","101.135","206.2776742352"
"130","520","4.1209","1.22","6","95","1879586.878","3002.844929","104.745","206.1951631655"
"141.25","565","4.0864","1.18","5.5","94.6","1850418.995","3151.212789","107.22","206.40135832867"
"120","480","4.1547","1.18","5","95.7","1958223.634","3080.572483","108.233","207.45400525614"
"110.75","443","4.1089","1.11","5","96","2133636.899","3039.91199","115.645","209.83972631659"
"100.25","401","4.1489","1.24","4.5","98.7","1923860.53","2927.130299","113.761","210.28038974185"
"88.5","354","4.3404","1.18","4.5","99","1944478.006","2941.282664","104.172","210.80609071621"
"82","328","4.8832","1.17","4.25","90.4","2065965.115","3023.600611","73.02","210.95365497971"
"78.75","315","5.325","1.07","3.75","57.4","2240949.764","2706.872638","80.506","210.29969864927"
"77.75","311","5.6429","0.98","3.75","62.2","2403069.355","2765.519579","87.403","209.50055979441"
"68.75","275","5.196","0.91","3","74.1","2542521.087","2898.828073","95.056","210.04526124987"
"82.5","330","5.2796","0.89","2.25","82.5","2592167.06","3060.371639","102.912","210.80142419037"
"89.25","357","5.4606","0.92","2.25","91.7","2675347.433","3017.571359","99.369","211.30734760843"
"89.75","359","5.3989","0.86","2","96.6","2755596.621","3042.122957","94.603","212.65971463312"
"98.75","395","5.6252","0.91","2","97.5","2752025.938","3124.8124","93.952","214.48858817897"
"86.25","345","5.4172","0.90","2","96.7","2807413.982","3124.907569","108.893","216.39753661376"
"75","300","5.1449","0.87","2","96.1","2923175.053","3203.189006","119.017","219.31890335805"
"64.5","258","5.3556","1.28","2","96.4","2687547.749","3080.302101","115.068","219.86720061644"
"61.5","246","4.2492285635359","1.09","2","95.1","2650846.904","3185.520764","110.035","221.75805854174"
"69","276","4.266007470099","1.10","2","87.5","2649916.109","3435.564724","116.634","223.82040848618"
"71","284","4.282786376662","1.14","2.75","90.8","2666592.02","3267.795671","118.894","224.51425175249"
"86.75","347","4.2995652832251","1.14","2.75","93.9","2661105.62","3199.798107","126.216","226.37772004203"
"86","344","4.3163441897881","1.16","3.5","96.3","2795271.192","3181.417891","126.802","227.57752195826"
"87.25","349","4.3331230963512","1.21","4.25","100.4","2807827.96","3283.419478","121.801","229.76226616905"
"94.75","379","4.3499020029142","1.26","4.25","102","2748390.834","3252.029274","118.781","231.76119788473"
"87.75","351","4.3666809094773","1.36","5.25","99.9","2685601.18","3183.593879","110.979","234.44962778019"
"92.25","369","4.3834598160403","1.55","6.25","100.2","2607831.371","3181.345145","103.501","237.38024812744"
"84","336","4.4002387226034","1.62","7.75","96.6","2600902.324","3219.610822","101.916","239.63536048465"
"71.75","287","4.4170176291664","1.58","7.75","93.9","2706966.165","3243.135561","104.822","241.38469861619"
"64.5","258","4.4337965357295","1.69","9.25","93.1","2471290.74","2977.949779","112.144","242.68817598872"
"55.25","221","4.4505754422925","1.71","9.25","92.9","2467074.29","3076.321578","113.142","245.1393265662"
"55.75","223","4.4673543488556","1.70","10.75","93.4","2420469.336","3367.452268","119.999","249.11058365658"
"64.5","258","4.4841332554186","1.69","11.75","95.6","2426219.093","3256.033114","107.876","251.75115584333"
"71.75","287","4.5009121619817","1.67","11.75","96.7","2383861.7","3265.497476","111.351","252.9343862758"
"73.25","293","4.5176910685447","1.76","12.75","96.8","2393424.811","3244.605087","98.542","254.62904666385"
"76.75","307","4.5344699751078","1.77","13.25","97.3","2387266.928","3372.824827","103.165","252.89756914653"
"83","332","4.5512488816708","1.70","13.25","100.2","2394221.63","3388.249127","109.523","251.9871378976"
"78.75","315","4.5680277882339","1.71","13.75","101.4","2414885.3","3330.742551","110.037","251.2563751977"
"79.5","318","4.5848066947969","1.69","13.75","98","2352518.464","3386.432322","116.037","252.73878781137"
"82.5","330","4.60158560136","1.73","13.75","91.8","2391365.425","3386.524847","112.486","253.77501684139"
"69","276","4.618364507923","1.75","13.75","90.5","2529086.893","3402.517992","109.735","255.34842194581"
