y1,y2,b10,b11,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g3,g4,g5,g6,g7,g8,ib8,ib9,ib10
164.25,657,11.25,11.25,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2411.9546,2317.8807,2287.0729,2315.9151,2234.7200,2207.1373,72593.0000,67868.0000,60968.0000
165.75,663,11.25,11.25,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,2296.5094,2411.9546,2317.8807,2287.0729,2315.9151,2234.7200,65018.0000,72593.0000,67868.0000
169.5,678,11.75,11.25,1675600.0590,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,2177.1702,2296.5094,2411.9546,2317.8807,2287.0729,2315.9151,59505.0000,65018.0000,72593.0000
172.5,690,11.75,11.75,1653418.6480,1675600.0590,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,2052.6977,2177.1702,2296.5094,2411.9546,2317.8807,2287.0729,55680.0000,59505.0000,65018.0000
205.25,821,12.25,11.75,1634717.6000,1653418.6480,1675600.0590,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,2024.2170,2052.6977,2177.1702,2296.5094,2411.9546,2317.8807,49541.0000,55680.0000,59505.0000
217,868,13,12.25,1646335.9230,1634717.6000,1653418.6480,1675600.0590,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,2240.3467,2024.2170,2052.6977,2177.1702,2296.5094,2411.9546,37257.0000,49541.0000,55680.0000
220,880,13,13,1650721.2820,1646335.9230,1634717.6000,1653418.6480,1675600.0590,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,1621876.2590,2186.4940,2240.3467,2024.2170,2052.6977,2177.1702,2296.5094,36596.0000,37257.0000,49541.0000
226.25,905,13.75,13,1702184.0820,1650721.2820,1646335.9230,1634717.6000,1653418.6480,1675600.0590,1912661.5900,1703591.7710,1639295.9540,1694274.6770,1626602.6060,2221.9289,2186.4940,2240.3467,2024.2170,2052.6977,2177.1702,37550.0000,36596.0000,37257.0000
212.5,850,13.75,13.75,1666034.4960,1702184.0820,1650721.2820,1646335.9230,1634717.6000,1653418.6480,1675600.0590,1912661.5900,1703591.7710,1639295.9540,1694274.6770,2237.2962,2221.9289,2186.4940,2240.3467,2024.2170,2052.6977,39301.0000,37550.0000,36596.0000
208.5,834,13.75,13.75,1699592.4820,1666034.4960,1702184.0820,1650721.2820,1646335.9230,1634717.6000,1653418.6480,1675600.0590,1912661.5900,1703591.7710,1639295.9540,2315.5870,2237.2962,2221.9289,2186.4940,2240.3467,2024.2170,38183.0000,39301.0000,37550.0000
205.5,822,13.75,13.75,1758779.3590,1699592.4820,1666034.4960,1702184.0820,1650721.2820,1646335.9230,1634717.6000,1653418.6480,1675600.0590,1912661.5900,1703591.7710,2321.3533,2315.5870,2237.2962,2221.9289,2186.4940,2240.3467,40926.0000,38183.0000,39301.0000
194,776,12.75,13.75,1755266.6260,1758779.3590,1699592.4820,1666034.4960,1702184.0820,1650721.2820,1646335.9230,1634717.6000,1653418.6480,1675600.0590,1912661.5900,2368.9921,2321.3533,2315.5870,2237.2962,2221.9289,2186.4940,47290.0000,40926.0000,38183.0000
