y1,y2,x5,x12,b10,b11,e10,e11,l10,l11,g4,g8,ib8,ib10
129.25,517,3.2409,3.2055,9.25,9.25,89.6000,86.6000,1962211.3440,1933541.4990,3414.3526,3346.4521,71971.0000,74294.0000
137.25,549,3.2786,3.1503,8.25,9.25,91.6000,89.6000,1950983.2360,1962211.3440,3399.5367,3359.5918,76402.0000,74309.0000
130.75,523,3.4069,3.1342,7.5,8.25,91.6000,91.6000,2033914.9410,1950983.2360,3244.4530,3208.4780,84913.0000,71971.0000
136.25,545,3.6355,3.1906,7.5,7.5,91.5000,91.6000,2231884.8820,2033914.9410,3347.9050,3129.6460,85354.0000,76402.0000
135.25,541,3.7726,3.2587,7,7.5,93.5000,91.5000,2019017.3560,2231884.8820,3386.7305,3414.3526,85366.0000,84913.0000
123.25,493,3.8281,3.2913,7,7,94.9000,93.5000,2025627.9390,2019017.3560,3427.4268,3399.5367,86116.0000,85354.0000
110.75,443,3.9292,3.2100,6.75,7,96.1000,94.9000,2058257.7430,2025627.9390,3288.7295,3244.4530,76754.0000,85366.0000
106.25,425,4.1159,3.2409,6.5,6.75,94.6000,96.1000,2077455.4020,2058257.7430,3482.8788,3347.9050,72763.0000,86116.0000
97.75,391,3.7578,3.2786,6.5,6.5,92.7000,94.6000,2066532.5850,2077455.4020,3460.9196,3386.7305,79220.0000,76754.0000
104.25,417,3.7860,3.4069,6.5,6.5,89.0000,92.7000,2057269.0880,2066532.5850,3414.6519,3427.4268,76678.0000,72763.0000
126.25,505,3.8844,3.6355,6.5,6.5,90.7000,89.0000,2040079.9530,2057269.0880,3285.6759,3288.7295,79342.0000,79220.0000
120.25,481,3.7411,3.7726,6.5,6.5,91.9000,90.7000,2092218.9930,2040079.9530,3265.4659,3482.8788,87424.0000,76678.0000
140.75,563,3.7230,3.8281,6.5,6.5,91.5000,91.9000,2119070.6010,2092218.9930,3396.2544,3460.9196,89504.0000,79342.0000
139.25,557,3.8459,3.9292,6.5,6.5,91.7000,91.5000,2064856.2450,2119070.6010,3448.7808,3414.6519,87887.0000,87424.0000
130,520,3.8956,4.1159,6.5,6.5,95.0000,91.7000,2143338.7930,2064856.2450,3458.9363,3285.6759,97394.0000,89504.0000
141.25,565,4.0009,3.7578,6.5,6.5,94.8000,95.0000,2335209.4210,2143338.7930,3355.7185,3265.4659,95584.0000,87887.0000
120,480,3.8582,3.7860,6.5,6.5,98.1000,94.8000,2118510.6880,2335209.4210,3548.4394,3396.2544,95415.0000,97394.0000
110.75,443,3.7787,3.8844,6.5,6.5,97.9000,98.1000,2133573.7900,2118510.6880,3532.9768,3448.7808,96353.0000,95584.0000
100.25,401,4.0194,3.7411,6.5,6.5,95.6000,97.9000,2130049.7150,2133573.7900,3475.7612,3458.9363,97030.0000,95415.0000
88.5,354,4.1209,3.7230,6.5,6.5,95.1000,95.6000,2113601.2660,2130049.7150,3649.0945,3355.7185,100967.0000,96353.0000
82,328,4.0864,3.8459,6.5,6.5,91.2000,95.1000,2089004.3850,2113601.2660,3575.2565,3548.4394,101812.0000,97030.0000
78.75,315,4.1547,3.8956,6.5,6.5,90.8000,91.2000,2117331.3530,2089004.3850,3545.8271,3532.9768,101135.0000,100967.0000
77.75,311,4.1089,4.0009,6.5,6.5,92.6000,90.8000,2091820.5870,2117331.3530,3417.4566,3475.7612,104745.0000,101812.0000
68.75,275,4.1489,3.8582,6,6.5,94.1000,92.6000,2114713.7330,2091820.5870,3437.7927,3649.0945,107220.0000,101135.0000
82.5,330,4.3404,3.7787,6,6,95.0000,94.1000,2175601.9030,2114713.7330,3535.1084,3575.2565,108233.0000,104745.0000
89.25,357,4.8832,4.0194,5.5,6,94.6000,95.0000,2142779.3650,2175601.9030,3160.4181,3545.8271,115645.0000,107220.0000
