y1,y2,x2,x3,x4,x5,x4,x7,x8,x9,x10,x11,x12,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ib2,ib3,ib4,ib5,ib6,ib7,ib8,ib9,ib10,ib11,ib12
177.75,711,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.91,1.85,1.79,1.84,1.79,1.8,1.77,1.76,1.68,1.7,1.72,116,113.7,114.1,112,112,112.2,109.7,107.3,109.1,111,114.5,1626602.606,1621876.259,1634095.464,1618384.327,1659359.168,1638892.84,1645748.812,1706046.803,2079942.656,1703860.403,1622706.434,2287.072901,2315.915144,2234.720007,2207.137309,2200.152068,2158.761896,2034.053485,2050.26858,2100.344187,2166.632526,2195.61126,55680,59505,65018,72593,67868,60968,63489,59490,63886,63006,65318
179.25,717,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.92,1.91,1.85,1.79,1.84,1.79,1.8,1.77,1.76,1.68,1.7,111.4,116,113.7,114.1,112,112,112.2,109.7,107.3,109.1,114.8,1694274.677,1626602.606,1621876.259,1634095.464,1618384.327,1659359.168,1638892.84,1645748.812,1706046.803,2079942.656,1703860.403,2317.880693,2287.072901,2315.915144,2234.720007,2207.137309,2200.152068,2158.761896,2034.053485,2050.26858,2100.344187,2166.632526,49541,55680,59505,65018,72593,67868,60968,63489,59490,63886,63006
184.5,738,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,2.12,1.92,1.91,1.85,1.79,1.84,1.79,1.8,1.77,1.76,1.68,100.9,111.4,116,113.7,114.1,112,112,112.2,109.7,107.3,111,1639295.954,1694274.677,1626602.606,1621876.259,1634095.464,1618384.327,1659359.168,1638892.84,1645748.812,1706046.803,2079942.656,2411.954626,2317.880693,2287.072901,2315.915144,2234.720007,2207.137309,2200.152068,2158.761896,2034.053485,2050.26858,2100.344187,37257,49541,55680,59505,65018,72593,67868,60968,63489,59490,63886
164.25,657,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,2.17,2.12,1.92,1.91,1.85,1.79,1.84,1.79,1.8,1.77,1.76,83.8,100.9,111.4,116,113.7,114.1,112,112,112.2,109.7,109.1,1703591.771,1639295.954,1694274.677,1626602.606,1621876.259,1634095.464,1618384.327,1659359.168,1638892.84,1645748.812,1706046.803,2296.50941,2411.954626,2317.880693,2287.072901,2315.915144,2234.720007,2207.137309,2200.152068,2158.761896,2034.053485,2050.26858,36596,37257,49541,55680,59505,65018,72593,67868,60968,63489,59490
165.75,663,2.3936,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,2.16,2.17,2.12,1.92,1.91,1.85,1.79,1.84,1.79,1.8,1.77,74.9,83.8,100.9,111.4,116,113.7,114.1,112,112,112.2,107.3,1912661.59,1703591.771,1639295.954,1694274.677,1626602.606,1621876.259,1634095.464,1618384.327,1659359.168,1638892.84,1645748.812,2177.170161,2296.50941,2411.954626,2317.880693,2287.072901,2315.915144,2234.720007,2207.137309,2200.152068,2158.761896,2034.053485,37550,36596,37257,49541,55680,59505,65018,72593,67868,60968,63489
169.5,678,2.3066,2.3936,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,1.7068,2.11,2.16,2.17,2.12,1.92,1.91,1.85,1.79,1.84,1.79,1.8,75.4,74.9,83.8,100.9,111.4,116,113.7,114.1,112,112,109.7,1675600.059,1912661.59,1703591.771,1639295.954,1694274.677,1626602.606,1621876.259,1634095.464,1618384.327,1659359.168,1638892.84,2052.697694,2177.170161,2296.50941,2411.954626,2317.880693,2287.072901,2315.915144,2234.720007,2207.137309,2200.152068,2158.761896,39301,37550,36596,37257,49541,55680,59505,65018,72593,67868,60968
172.5,690,2.3119,2.3066,2.3936,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.6881,2.1,2.11,2.16,2.17,2.12,1.92,1.91,1.85,1.79,1.84,1.79,78.3,75.4,74.9,83.8,100.9,111.4,116,113.7,114.1,112,112.2,1653418.648,1675600.059,1912661.59,1703591.771,1639295.954,1694274.677,1626602.606,1621876.259,1634095.464,1618384.327,1659359.168,2024.217028,2052.697694,2177.170161,2296.50941,2411.954626,2317.880693,2287.072901,2315.915144,2234.720007,2207.137309,2200.152068,38183,39301,37550,36596,37257,49541,55680,59505,65018,72593,67868
205.25,821,2.313,2.3119,2.3066,2.3936,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.6597,1.9,2.1,2.11,2.16,2.17,2.12,1.92,1.91,1.85,1.79,1.84,80.7,78.3,75.4,74.9,83.8,100.9,111.4,116,113.7,114.1,112,1634717.6,1653418.648,1675600.059,1912661.59,1703591.771,1639295.954,1694274.677,1626602.606,1621876.259,1634095.464,1618384.327,2240.346667,2024.217028,2052.697694,2177.170161,2296.50941,2411.954626,2317.880693,2287.072901,2315.915144,2234.720007,2207.137309,40926,38183,39301,37550,36596,37257,49541,55680,59505,65018,72593
217,868,2.2051,2.313,2.3119,2.3066,2.3936,2.2655,2.1721,1.7988,1.6115,1.5906,1.6181,1.91,1.9,2.1,2.11,2.16,2.17,2.12,1.92,1.91,1.85,1.79,87.5,80.7,78.3,75.4,74.9,83.8,100.9,111.4,116,113.7,112,1646335.923,1634717.6,1653418.648,1675600.059,1912661.59,1703591.771,1639295.954,1694274.677,1626602.606,1621876.259,1634095.464,2186.494024,2240.346667,2024.217028,2052.697694,2177.170161,2296.50941,2411.954626,2317.880693,2287.072901,2315.915144,2234.720007,47290,40926,38183,39301,37550,36596,37257,49541,55680,59505,65018
220,880,2.0601,2.2051,2.313,2.3119,2.3066,2.3936,2.2655,2.1721,1.7988,1.6115,1.5906,1.83,1.91,1.9,2.1,2.11,2.16,2.17,2.12,1.92,1.91,1.85,90.9,87.5,80.7,78.3,75.4,74.9,83.8,100.9,111.4,116,114.1,1650721.282,1646335.923,1634717.6,1653418.648,1675600.059,1912661.59,1703591.771,1639295.954,1694274.677,1626602.606,1621876.259,2221.928896,2186.494024,2240.346667,2024.217028,2052.697694,2177.170161,2296.50941,2411.954626,2317.880693,2287.072901,2315.915144,53198,47290,40926,38183,39301,37550,36596,37257,49541,55680,59505
226.25,905,1.9568,2.0601,2.2051,2.313,2.3119,2.3066,2.3936,2.2655,2.1721,1.7988,1.6115,1.76,1.83,1.91,1.9,2.1,2.11,2.16,2.17,2.12,1.92,1.91,94,90.9,87.5,80.7,78.3,75.4,74.9,83.8,100.9,111.4,113.7,1702184.082,1650721.282,1646335.923,1634717.6,1653418.648,1675600.059,1912661.59,1703591.771,1639295.954,1694274.677,1626602.606,2237.296183,2221.928896,2186.494024,2240.346667,2024.217028,2052.697694,2177.170161,2296.50941,2411.954626,2317.880693,2287.072901,51466,53198,47290,40926,38183,39301,37550,36596,37257,49541,55680
